Date,Open,High,Low,Close,Volume
02/01/2014 15:30:00,19.87,20.19,18.9,19.12,67963
03/01/2014 15:30:00,18.97,19.6,18.97,19.32,56629
06/01/2014 15:30:00,19.3,19.73,19.1,19.44,59479
07/01/2014 15:30:00,19.5,19.72,19.3,19.48,44238
08/01/2014 15:30:00,19.5,20.38,19.45,19.86,148330
09/01/2014 15:30:00,19.76,20.49,19.31,19.45,75597
10/01/2014 15:30:00,19.5,19.63,19.06,19.22,62967
13/01/2014 15:30:00,19.22,19.6,19.22,19.47,42766
14/01/2014 15:30:00,19.49,19.7,19.4,19.41,33144
15/01/2014 15:30:00,19.47,19.77,19.35,19.69,60515
16/01/2014 15:30:00,19.6,19.75,19.48,19.52,55254
17/01/2014 15:30:00,19.5,19.68,19.23,19.51,59173
20/01/2014 15:30:00,19.57,20.83,19.51,20.63,215680
21/01/2014 15:30:00,20.7,22.74,20.7,21.69,770874
22/01/2014 15:30:00,21.81,22.45,21.6,21.88,240963
23/01/2014 15:30:00,21.8,22.8,21.8,22.35,345271
24/01/2014 15:30:00,22.3,22.6,21.42,21.62,128841
27/01/2014 15:30:00,21.1,22,20.74,21.02,170871
28/01/2014 15:30:00,21.18,22.99,20.8,22.72,800451
29/01/2014 15:30:00,23.19,23.88,22.72,23.36,815131
30/01/2014 15:30:00,23.2,23.2,22.17,22.72,189821
31/01/2014 15:30:00,22.95,23.44,22.74,22.86,107516
03/02/2014 15:30:00,22.79,22.99,22.1,22.27,54641
04/02/2014 15:30:00,21.8,26.46,21.8,26.21,1276278
05/02/2014 15:30:00,26.3,27.36,25.51,25.8,1019015
06/02/2014 15:30:00,26,26.99,25.85,26.41,338479
07/02/2014 15:30:00,26.76,29.08,26.76,27.85,1597538
10/02/2014 15:30:00,28.26,28.76,27.65,28.06,351915
11/02/2014 15:30:00,28.29,29.25,27.6,28.72,487039
12/02/2014 15:30:00,29,29.44,28.45,28.7,282850
13/02/2014 15:30:00,28.77,28.95,27.17,27.36,208148
14/02/2014 15:30:00,27.5,27.9,26.53,27.09,173517
17/02/2014 15:30:00,27.08,27.5,26.1,27.37,187894
18/02/2014 15:30:00,27.4,28.1,27.2,27.33,183351
20/02/2014 15:30:00,26.9,27.8,26.9,27.56,269981
21/02/2014 15:30:00,27.56,28.65,27.4,27.71,419094
24/02/2014 15:30:00,27.8,28.2,27.44,27.75,142778
25/02/2014 15:30:00,27.8,27.98,27.12,27.26,208621
26/02/2014 15:30:00,27.05,27.55,26.83,26.93,126361
28/02/2014 15:30:00,27.07,27.6,26.53,26.83,156426
03/03/2014 15:30:00,26.8,27.6,26.8,27.15,189106
04/03/2014 15:30:00,27.2,27.79,27,27.46,194492
05/03/2014 15:30:00,27.4,28.2,27.33,27.68,314852
06/03/2014 15:30:00,27.7,28.6,27.7,28.03,336251
07/03/2014 15:30:00,28.2,28.34,26.7,26.85,206314
10/03/2014 15:30:00,26.85,27.36,26.76,26.84,85116
11/03/2014 15:30:00,26.91,27.05,25.77,25.98,132884
12/03/2014 15:30:00,25.8,27.77,25.15,27.11,340798
13/03/2014 15:30:00,27.35,27.78,26.91,27.4,231608
14/03/2014 15:30:00,27.4,27.68,26.9,27.34,81013
18/03/2014 15:30:00,27.5,27.63,27.21,27.31,52635
19/03/2014 15:30:00,27.4,27.99,27.21,27.34,163371
20/03/2014 15:30:00,27.38,27.38,24.8,26.27,133362
21/03/2014 15:30:00,25.92,26.8,25.92,26.41,51086
24/03/2014 15:30:00,26.7,26.89,26.23,26.36,28261
25/03/2014 15:30:00,26.16,26.69,25.82,25.93,66661
26/03/2014 15:30:00,26.1,26.27,25.5,25.6,89490
27/03/2014 15:30:00,25.5,26,25.41,25.54,47855
28/03/2014 15:30:00,25.89,25.9,25,25.17,65849
31/03/2014 15:30:00,25.21,25.81,24.8,25.52,78563
01/04/2014 15:30:00,25.75,26.5,25.6,26.37,101880
02/04/2014 15:30:00,26.46,27.55,26.46,27.28,190863
03/04/2014 15:30:00,27.48,27.6,26.61,26.87,68382
04/04/2014 15:30:00,26.92,27.48,26.8,26.94,53351
07/04/2014 15:30:00,27,27.39,26.5,26.75,43035
