Date,Open,High,Low,Close,Volume
14/10/2019 15:30:00,125.2,148.76,125,145.55,45270607
15/10/2019 15:30:00,147.2,149.48,139.21,142.63,10530041
16/10/2019 15:30:00,142.8,144.2,139.65,140.13,3476306
17/10/2019 15:30:00,140.02,146.6,137.43,144.86,5032930
18/10/2019 15:30:00,145,157.98,143.21,155.83,9733230
22/10/2019 15:30:00,157.39,173.35,156.2,168.94,9346788
23/10/2019 15:30:00,173.2,181.98,173.2,180.06,9023269
24/10/2019 15:30:00,184.99,190.7,172.53,180.41,11871313
25/10/2019 19:00:00,181,183.2,175.2,179.81,3849535
27/10/2019 19:25:00,182.2,185,179,181.25,1342257
29/10/2019 15:30:00,181.4,181.48,175.73,176.62,2023748
30/10/2019 15:30:00,176.2,184,176.17,178.09,3276203
31/10/2019 15:30:00,180,181.54,175.4,176.34,1839718
01/11/2019 15:30:00,177,181.59,176.62,178.1,1882230
04/11/2019 15:30:00,179,179.6,176.05,176.69,839167
05/11/2019 15:30:00,177.34,181.4,174.26,176.3,2038067
06/11/2019 15:30:00,177,179,176.2,176.86,990090
07/11/2019 15:30:00,177.8,178.4,176.02,176.3,775102
08/11/2019 15:30:00,175.95,178.2,174.46,175.38,948769
11/11/2019 15:30:00,177.2,188.67,176.8,186.58,5501875
13/11/2019 15:30:00,191,196.18,180.64,186.41,6174470
14/11/2019 15:30:00,183,189.4,179.4,181.46,2867396
15/11/2019 15:30:00,184,187.96,180.4,185.64,3194038
18/11/2019 15:30:00,186.82,187.58,183.41,184.43,1144000
19/11/2019 15:30:00,184.55,184.8,180,180.51,1104593
20/11/2019 15:30:00,181.8,183.4,178,179.14,1264597
21/11/2019 15:30:00,179.6,181.2,176.02,176.96,1297118
22/11/2019 15:30:00,177.8,177.8,174.48,175.18,747673
25/11/2019 15:30:00,175.8,178,174.62,176.43,687565
26/11/2019 15:30:00,177.4,179,175.1,175.74,794348
27/11/2019 15:30:00,176.22,178.2,176,176.65,586626
28/11/2019 15:30:00,176.99,177.56,175.62,176.49,415748
29/11/2019 15:30:00,176.43,183.74,175.6,179.45,1799753
03/12/2019 15:30:00,177.2,177.8,174.2,175,550857
04/12/2019 15:30:00,174.4,177,172.46,174.82,741046
05/12/2019 15:30:00,175.9,177.78,174.4,175.19,526976
06/12/2019 15:30:00,175.4,175.73,173.63,174.47,355371
09/12/2019 15:30:00,175.31,175.31,172.83,173.48,354249
10/12/2019 15:30:00,173.96,173.96,171.06,172.18,394809
11/12/2019 15:30:00,172.78,173.99,171.1,172.93,441041
12/12/2019 15:30:00,173,175.6,172.02,173.98,290277
13/12/2019 15:30:00,174.85,180.68,174.02,178.1,1400505
16/12/2019 15:30:00,178.9,178.9,176.43,177.34,356192
17/12/2019 15:30:00,177.8,179.7,176.6,177.35,563331
18/12/2019 15:30:00,177.36,177.5,174.66,175.07,284932
19/12/2019 15:30:00,174.44,175.2,173.24,173.94,302745
20/12/2019 15:30:00,174.8,174.8,173.1,173.37,261200
23/12/2019 15:30:00,173.6,174,172.2,172.95,328209
24/12/2019 15:30:00,177,179.96,175.04,177.51,2404158
26/12/2019 15:30:00,177.2,177.6,174.9,175.38,392561
27/12/2019 15:30:00,176.39,177.08,175.4,176.12,420523
30/12/2019 15:30:00,177.05,187.49,176.66,185.23,3047571
31/12/2019 15:30:00,186.4,190.94,184.26,186.69,3889180
01/01/2020 15:30:00,188.38,190.77,186.96,188.87,1718655
02/01/2020 15:30:00,188.8,188.8,185.41,186.08,657531
03/01/2020 15:30:00,185.6,188.7,185.51,186.28,868570
06/01/2020 15:30:00,185.4,185.41,178.02,178.89,784734
07/01/2020 15:30:00,179.4,184.3,179.4,181.48,697359
08/01/2020 15:30:00,179.8,180.52,177.26,179.23,554070
09/01/2020 15:30:00,182.07,184.12,182,182.73,599400
10/01/2020 15:30:00,182.4,185.48,181.73,183.45,508777
13/01/2020 15:30:00,184,188.56,183.21,187.83,782985
14/01/2020 15:30:00,189,196.74,188.41,194.83,2897447
15/01/2020 15:30:00,195.6,199.2,194.77,197.08,1712570
16/01/2020 15:30:00,196.96,201.67,196.95,200.73,1521414
17/01/2020 15:30:00,202,205,202,204.37,1099347
