Date,Open,High,Low,Close,Volume
02/01/2014 15:30:00,439.68,443.79,430.96,433.39,1376901
03/01/2014 15:30:00,431.71,432.57,423.49,428.07,2933613
06/01/2014 15:30:00,427,427.57,421.01,423.46,3043781
07/01/2014 15:30:00,423.29,425.94,416.08,417.1,3957111
08/01/2014 15:30:00,418.24,424.65,418.24,420.54,2909048
09/01/2014 15:30:00,421.23,422.89,418.56,421.36,1899340
10/01/2014 15:30:00,420.19,434.04,420.02,425.05,3392170
13/01/2014 15:30:00,430.05,437.35,429.92,436.07,2756390
14/01/2014 15:30:00,435.13,438.12,432.13,436.61,2760267
15/01/2014 15:30:00,438.2,443.3,436.36,438.57,2893960
16/01/2014 15:30:00,440.18,442.46,436.88,438.91,4123266
17/01/2014 15:30:00,440.4,444.24,435.99,438.22,3534630
20/01/2014 15:30:00,439.29,440.33,428.98,430.79,3789008
21/01/2014 15:30:00,432.23,432.7,426.95,427.47,2241570
22/01/2014 15:30:00,427.7,433.57,425.05,432.13,1947009
23/01/2014 15:30:00,426.26,431.56,426.26,428.83,3146981
24/01/2014 15:30:00,426.95,433.22,426.51,429.75,2715344
27/01/2014 15:30:00,423.98,426.36,416.23,417.62,2822051
28/01/2014 15:30:00,419.52,423.98,417.39,418.46,2645575
29/01/2014 15:30:00,420.91,422.25,413.58,414.37,2828526
30/01/2014 15:30:00,411.8,413.01,407.24,408.63,3223490
31/01/2014 15:30:00,409.62,412.81,409.2,411.67,2523182
03/02/2014 15:30:00,409.22,411,405.88,406.6,1880728
04/02/2014 15:30:00,403.43,409.44,402.76,406.92,2825803
05/02/2014 15:30:00,406.2,406.89,399.66,404.79,2582636
06/02/2014 15:30:00,406.15,408.18,400.28,404.09,2474757
07/02/2014 15:30:00,407.19,408.03,401.49,403.4,1933597
10/02/2014 15:30:00,403.8,408.92,401.77,407.12,2364740
11/02/2014 15:30:00,407.64,408.63,397.61,398.84,2882244
12/02/2014 15:30:00,400.21,407.09,399.91,405.11,2246719
13/02/2014 15:30:00,405.61,405.61,398.75,399.91,1978914
14/02/2014 15:30:00,402.14,408.13,400.21,407.17,2107250
17/02/2014 15:30:00,404.99,407.14,399.74,402.34,2070622
18/02/2014 15:30:00,399.76,405.09,399.76,402.76,1312359
20/02/2014 15:30:00,401.84,403.03,397.78,398.94,1838151
21/02/2014 15:30:00,399.76,404.17,399.02,401.94,1430079
24/02/2014 15:30:00,400.23,403.65,398.87,402.36,1554509
25/02/2014 15:30:00,403.33,404.17,399.98,401.47,1609074
26/02/2014 15:30:00,401.69,404.59,400.33,401.54,3110571
28/02/2014 15:30:00,401.54,403.85,392.83,396.22,4331622
03/03/2014 15:30:00,396.29,399.61,394.83,397.93,2659675
04/03/2014 15:30:00,397.73,403.5,397.53,402.66,2056575
05/03/2014 15:30:00,403.95,405.16,398.79,399.71,2703603
06/03/2014 15:30:00,400.87,408.33,400.85,407.36,2325283
07/03/2014 15:30:00,408.63,432.9,408.63,430.62,7679752
10/03/2014 15:30:00,428.49,447.58,427.65,438.57,7513409
11/03/2014 15:30:00,438.34,439.73,431.96,433.27,2921335
12/03/2014 15:30:00,432.9,437.3,429.75,431.58,2155857
13/03/2014 15:30:00,433.39,443.17,433.24,435.65,3936620
14/03/2014 15:30:00,432.9,440.8,430.44,438.91,3780891
18/03/2014 15:30:00,440.57,450.13,440.57,444.02,4351046
19/03/2014 15:30:00,445.77,450.68,443.42,447.26,3743369
20/03/2014 15:30:00,446.57,449.49,444.86,448.75,6791651
21/03/2014 15:30:00,449.24,452.39,436.93,438.74,5040481
24/03/2014 15:30:00,441.44,450.11,441.37,448.45,6586731
25/03/2014 15:30:00,435.37,437.11,432.15,435.52,7154556
26/03/2014 15:30:00,436.49,447.24,436.44,441.42,3156965
27/03/2014 15:30:00,443.22,448.2,441.86,446.15,12665322
28/03/2014 15:30:00,445.77,455.66,445.77,453.77,4267110
31/03/2014 15:30:00,453.82,465.49,452.31,461,4286368
01/04/2014 15:30:00,463.61,468.06,460.29,466.87,3575180
02/04/2014 15:30:00,468.06,476.48,464.65,474.6,6121499
03/04/2014 15:30:00,473.91,476.95,465.78,471.85,6069088
04/04/2014 15:30:00,471.53,472.15,466.35,467.69,2860462
07/04/2014 15:30:00,467.57,472.99,462.79,467.64,2949923
09/04/2014 15:30:00,470.54,478.81,469.13,476.56,3071917
10/04/2014 15:30:00,477.82,482.38,476.58,479.98,2434297
11/04/2014 15:30:00,476.63,480.97,470.84,472.4,2672508
15/04/2014 15:30:00,470.54,472.52,463.9,470.09,2117715
16/04/2014 15:30:00,468.81,475,464.65,466.23,2830152
