Date,Open,High,Low,Close,Volume
02/01/2014 15:30:00,207.26,208.8,204.81,207.36,915486
03/01/2014 15:30:00,205.13,209.4,204.86,208.73,1107663
06/01/2014 15:30:00,209.96,211.8,208.13,209.25,1855578
07/01/2014 15:30:00,209.25,209.51,204.38,206.33,1232292
08/01/2014 15:30:00,205.88,206.59,203.79,205.18,1077593
09/01/2014 15:30:00,205.13,207.66,201.58,202.84,1637153
10/01/2014 15:30:00,203.66,208.84,199.35,207.51,2657892
13/01/2014 15:30:00,208.13,213,208.13,210.54,1891221
14/01/2014 15:30:00,210.96,211.13,206.1,207.6,1460471
15/01/2014 15:30:00,208.97,211.5,206.89,210.26,1303011
16/01/2014 15:30:00,208.13,215.19,208.13,214.33,1717084
17/01/2014 15:30:00,215.63,215.96,205.99,207.26,2517653
20/01/2014 15:30:00,207.23,216.64,207.04,214.89,4712091
21/01/2014 15:30:00,215.53,216.75,213.15,214.33,2214120
22/01/2014 15:30:00,213.75,218.57,213.02,216.73,2096716
23/01/2014 15:30:00,216,217.63,211.88,216.94,2039827
24/01/2014 15:30:00,215.85,220.13,213.92,214.82,2151627
27/01/2014 15:30:00,213.75,217.13,212.14,213.96,1949218
28/01/2014 15:30:00,213.3,214.84,211.54,212.85,1152906
29/01/2014 15:30:00,211.88,215.93,211.88,214.31,1140851
30/01/2014 15:30:00,213,215.55,210.62,214.2,1943078
31/01/2014 15:30:00,214.46,217.37,213.68,215.64,1046685
03/02/2014 15:30:00,211.2,215.25,210.81,212.23,1131649
04/02/2014 15:30:00,210.64,210.64,204,208.37,2108872
05/02/2014 15:30:00,209.25,212.04,206.55,210.15,1585005
06/02/2014 15:30:00,209.66,214.39,208.13,213.21,2669065
07/02/2014 15:30:00,213.73,215.19,208.71,210.62,1380044
10/02/2014 15:30:00,211.13,213.6,210.41,211.2,1045040
11/02/2014 15:30:00,212.25,214.28,210.11,211.18,1364572
12/02/2014 15:30:00,211.71,214.2,209.27,210.92,1418547
13/02/2014 15:30:00,211.88,212.25,206.18,208.2,1089476
14/02/2014 15:30:00,208.71,212.34,207.26,211.43,1194129
17/02/2014 15:30:00,211.88,213.56,208.88,210.38,856546
18/02/2014 15:30:00,209.72,211.84,207.92,208.89,922441
20/02/2014 15:30:00,211.86,213.99,210.41,211.95,1095687
21/02/2014 15:30:00,212.06,215.63,212.06,214.33,1353479
24/02/2014 15:30:00,214.91,218.23,213.75,216.62,1041237
25/02/2014 15:30:00,217.5,224.25,217.5,223.59,1651574
26/02/2014 15:30:00,223.5,229.13,222.64,226.14,2739680
28/02/2014 15:30:00,226.13,226.88,221.06,223.97,1820677
03/03/2014 15:30:00,225,225,218.66,219.71,934482
04/03/2014 15:30:00,219.75,223.05,219.43,220.58,1403123
05/03/2014 15:30:00,222.41,223.5,219.92,221.44,1679861
06/03/2014 15:30:00,222,223.07,218.81,219.32,1244942
07/03/2014 15:30:00,220.5,220.5,209.98,212.01,1981648
10/03/2014 15:30:00,211.54,214.41,208.16,208.97,2073312
11/03/2014 15:30:00,208.88,212.46,207.53,209.94,1796880
12/03/2014 15:30:00,209.96,213.75,209.63,212.53,1211907
13/03/2014 15:30:00,210.75,215.55,206.48,211.35,1969289
14/03/2014 15:30:00,211.5,211.5,204.23,205.35,2234360
18/03/2014 15:30:00,206.25,206.63,201.47,202.67,1820785
19/03/2014 15:30:00,202.71,206.23,198.26,204.41,2138912
20/03/2014 15:30:00,205.13,209.93,204.75,207.13,1691269
21/03/2014 15:30:00,209.49,216.56,207.75,213.08,3412152
24/03/2014 15:30:00,214.13,215.63,210.43,211.05,1045777
25/03/2014 15:30:00,209.01,209.98,204.81,205.69,2300896
26/03/2014 15:30:00,206.59,209.14,204,204.58,1344740
27/03/2014 15:30:00,204.75,209.98,202.5,207.53,2207336
28/03/2014 15:30:00,207.77,209.79,206.42,207.02,1133226
31/03/2014 15:30:00,207,207.79,201.94,203.7,2666235
01/04/2014 15:30:00,205.13,211.13,205.11,210.39,1886694
02/04/2014 15:30:00,211.69,214.69,209.63,212.21,1796200
03/04/2014 15:30:00,211.88,213.02,209.12,210.36,923771
04/04/2014 15:30:00,211.88,213.36,206.79,207.53,1028562
07/04/2014 15:30:00,207.38,210.23,206.79,208.84,1139018
09/04/2014 15:30:00,209.63,210.92,206.06,207.92,1444851
10/04/2014 15:30:00,208.13,211.84,206.44,210.45,1445069
11/04/2014 15:30:00,208.35,214.05,206.63,213.04,1766113
15/04/2014 15:30:00,211.89,221.76,211.89,220.71,2355416
16/04/2014 15:30:00,223.01,223.01,213.04,214.54,1979808
17/04/2014 15:30:00,216.34,221.08,215.08,219.69,1898422
21/04/2014 15:30:00,212.25,213.11,204.02,204.83,5708980
22/04/2014 15:30:00,205.88,208.09,197.25,198.96,4252307
